name,date_utc,success,rocket,launchpad,flight_number
Starlink 4-18 (v1.5),2022-05-18T10:40:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,164
Transporter-5,2022-05-25T18:27:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,165
Nilesat-301,2022-06-08T21:04:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,166
Starlink 4-19 (v1.5),2022-06-01T17:08:50.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,167
SARah 1,2022-06-18T14:19:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,168
Globalstar FM15,2022-06-19T04:27:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,169
SES-22,2022-06-29T21:04:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,170
Starlink 4-21 (v1.5),2022-07-07T13:11:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,171
Starlink 3-1 (v1.5),2022-07-11T01:39:00.000Z,0,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,172
CRS-25,2022-07-15T00:44:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,173
Starlink 4-22 (v1.5),2022-07-17T14:50:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,174
Starlink 3-2 (v1.5),2022-07-21T17:13:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,175
Starlink 4-25 (v1.5),2022-07-24T00:00:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,176
KPLO,2022-08-04T23:08:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,177
Starlink 4-26 (v1.5),2022-08-09T22:57:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,178
Starlink 3-3 (v1.5),2022-08-12T21:30:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,179
Starlink 4-27 (v1.5),2022-08-19T19:24:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,180
Starlink 4-23 (v1.5),2022-08-28T02:22:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,181
Starlink 3-4 (v1.5),2022-08-31T05:40:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,182
Starlink 4-20 (v1.5) & Sherpa LTC-2/Varuna-TDM,2022-09-05T02:09:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,183
Starlink 4-2 (v1.5) & Blue Walker 3,2022-09-11T01:10:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,184
Starlink 4-34 (v1.5),2022-09-17T01:05:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,185
Starlink 4-35 (v1.5),2022-09-24T23:30:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,186
Crew-5,2022-10-05T16:00:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,187
USSF-44,2022-11-01T13:41:00.000Z,0,5e9d0d95eda69974db09d1ed,5e9e4502f509094188566f88,188
Starlink 4-36 (v1.5),2022-10-20T14:50:00.000Z,0,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,188
Galaxy 33 (15R) & 34 (12R),2022-10-08T23:05:00.000Z,0,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,188
Hotbird 13F,2022-10-15T05:22:00.000Z,0,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,188
